Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt
,88.9x2.9 CHS,-,6.15,88.9,88.9,2.9,2.9,,,,,,,,0.279,45.5,72.5,72.5,3.04,3.04,16.3,16.3,21.5,21.5,,,,145,7.84,,,,,,,,,,,,,,30.7,32.6
,88.9x3.2 CHS,-,6.76,88.9,88.9,3.2,3.2,,,,,,,,0.279,41.3,79.2,79.2,3.03,3.03,17.8,17.8,23.5,23.5,,,,158,8.62,,,,,,,,,,,,,,27.8,35.6
,88.9x3.6 CHS,-,7.57,88.9,88.9,3.6,3.6,,,,,,,,0.279,36.8,87.9,87.9,3.02,3.02,19.8,19.8,26.2,26.2,,,,176,9.65,,,,,,,,,,,,,,24.7,39.5
,88.9x4 CHS,-,8.38,88.9,88.9,4,4,,,,,,,,0.279,33.2,96.3,96.3,3,3,21.7,21.7,28.9,28.9,,,,193,10.7,,,,,,,,,,,,,,22.2,43.3
,88.9x4.5 CHS,-,9.37,88.9,88.9,4.5,4.5,,,,,,,,0.279,29.9,107,107,2.99,2.99,24,24,32.1,32.1,,,,213,11.9,,,,,,,,,,,,,,19.8,47.9
,88.9x5 CHS,-,10.3,88.9,88.9,5,5,,,,,,,,0.279,27,116,116,2.97,2.97,26.2,26.2,35.2,35.2,,,,233,13.2,,,,,,,,,,,,,,17.8,52.4
,88.9x5.6 CHS,-,11.5,88.9,88.9,5.6,5.6,,,,,,,,0.279,24.2,128,128,2.95,2.95,28.7,28.7,38.9,38.9,,,,255,14.7,,,,,,,,,,,,,,15.9,57.5
,88.9x6.3 CHS,-,12.8,88.9,88.9,6.3,6.3,,,,,,,,0.279,21.7,140,140,2.93,2.93,31.5,31.5,43.1,43.1,,,,280,16.3,,,,,,,,,,,,,,14.1,63.1
,88.9x8 CHS,-,16,88.9,88.9,8,8,,,,,,,,0.279,17.5,168,168,2.87,2.87,37.8,37.8,52.5,52.5,,,,336,20.3,,,,,,,,,,,,,,11.1,75.6
,88.9x10 CHS,-,19.5,88.9,88.9,10,10,,,,,,,,0.279,14.3,196,196,2.81,2.81,44.1,44.1,62.6,62.6,,,,392,24.8,,,,,,,,,,,,,,8.89,88.2
,101.6x3.2 CHS,-,7.77,101.6,101.6,3.2,3.2,,,,,,,,0.319,41.2,120,120,3.48,3.48,23.6,23.6,31,31,,,,240,9.89,,,,,,,,,,,,,,31.7,47.2
,101.6x3.6 CHS,-,8.7,101.6,101.6,3.6,3.6,,,,,,,,0.319,36.7,133,133,3.47,3.47,26.2,26.2,34.6,34.6,,,,266,11.1,,,,,,,,,,,,,,28.2,52.5
,101.6x4 CHS,-,9.63,101.6,101.6,4,4,,,,,,,,0.319,33.2,146,146,3.45,3.45,28.8,28.8,38.1,38.1,,,,293,12.3,,,,,,,,,,,,,,25.4,57.6
,101.6x4.5 CHS,-,10.8,101.6,101.6,4.5,4.5,,,,,,,,0.319,29.6,162,162,3.44,3.44,31.9,31.9,42.5,42.5,,,,324,13.7,,,,,,,,,,,,,,22.6,63.8
,101.6x5 CHS,-,11.9,101.6,101.6,5,5,,,,,,,,0.319,26.8,177,177,3.42,3.42,34.9,34.9,46.7,46.7,,,,355,15.2,,,,,,,,,,,,,,20.3,69.9
,101.6x5.6 CHS,-,13.3,101.6,101.6,5.6,5.6,,,,,,,,0.319,24.1,195,195,3.4,3.4,38.4,38.4,51.7,51.7,,,,390,16.9,,,,,,,,,,,,,,18.1,76.9
,101.6x6.3 CHS,-,14.8,101.6,101.6,6.3,6.3,,,,,,,,0.319,21.5,215,215,3.38,3.38,42.3,42.3,57.3,57.3,,,,430,18.9,,,,,,,,,,,,,,16.1,84.7
,101.6x8 CHS,-,18.5,101.6,101.6,8,8,,,,,,,,0.319,17.3,260,260,3.32,3.32,51.1,51.1,70.3,70.3,,,,519,23.5,,,,,,,,,,,,,,12.7,102
,101.6x10 CHS,-,22.6,101.6,101.6,10,10,,,,,,,,0.319,14.1,305,305,3.26,3.26,60.1,60.1,84.2,84.2,,,,611,28.8,,,,,,,,,,,,,,10.2,120
,114.3x3.2 CHS,-,8.77,114.3,114.3,3.2,3.2,,,,,,,,0.359,40.9,172,172,3.93,3.93,30.2,30.2,39.5,39.5,,,,345,11.2,,,,,,,,,,,,,,35.7,60.4
,114.3x3.6 CHS,-,9.83,114.3,114.3,3.6,3.6,,,,,,,,0.359,36.6,192,192,3.92,3.92,33.6,33.6,44.1,44.1,,,,384,12.5,,,,,,,,,,,,,,31.8,67.2
,114.3x4 CHS,-,10.9,114.3,114.3,4,4,,,,,,,,0.359,33,211,211,3.9,3.9,36.9,36.9,48.7,48.7,,,,422,13.9,,,,,,,,,,,,,,28.6,73.9
,114.3x4.5 CHS,-,12.2,114.3,114.3,4.5,4.5,,,,,,,,0.359,29.5,234,234,3.89,3.89,41,41,54.3,54.3,,,,469,15.5,,,,,,,,,,,,,,25.4,82
,114.3x5 CHS,-,13.5,114.3,114.3,5,5,,,,,,,,0.359,26.6,257,257,3.87,3.87,45,45,59.8,59.8,,,,514,17.2,,,,,,,,,,,,,,22.9,89.9
,114.3x5.6 CHS,-,15,114.3,114.3,5.6,5.6,,,,,,,,0.359,23.9,283,283,3.85,3.85,49.6,49.6,66.2,66.2,,,,566,19.1,,,,,,,,,,,,,,20.4,99.1
,114.3x6.3 CHS,-,16.8,114.3,114.3,6.3,6.3,,,,,,,,0.359,21.4,313,313,3.82,3.82,54.7,54.7,73.6,73.6,,,,625,21.4,,,,,,,,,,,,,,18.1,109
,114.3x8 CHS,-,21,114.3,114.3,8,8,,,,,,,,0.359,17.1,379,379,3.77,3.77,66.4,66.4,90.6,90.6,,,,759,26.7,,,,,,,,,,,,,,14.3,133
,114.3x10 CHS,-,25.7,114.3,114.3,10,10,,,,,,,,0.359,14,450,450,3.7,3.7,78.7,78.7,109,109,,,,899,32.8,,,,,,,,,,,,,,11.4,157
,139.7x3.2 CHS,-,10.8,139.7,139.7,3.2,3.2,,,,,,,,0.439,40.7,320,320,4.83,4.83,45.8,45.8,59.6,59.6,,,,640,13.7,,,,,,,,,,,,,,43.7,91.6
,139.7x3.6 CHS,-,12.1,139.7,139.7,3.6,3.6,,,,,,,,0.439,36.3,357,357,4.81,4.81,51.1,51.1,66.7,66.7,,,,713,15.4,,,,,,,,,,,,,,38.8,102
